Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-13.1472,-27.7536,1440.8888
2,-13.3917,-27.6572,1440.4187
3,-13.0395,-27.8173,1440.0156
4,-12.0662,-28.2068,1439.7327
5,-10.4812,-28.8012,1439.6229
6,-8.4291,-29.5702,1439.7565
7,-6.4663,-30.4679,1440.1718
8,-4.6502,-31.513,1440.8267
9,-3.0004,-32.6292,1441.6729
10,-1.5076,-33.7439,1442.6349
11,-0.1701,-34.8305,1443.6403
12,1.0624,-35.7856,1444.5942
13,2.1475,-36.6243,1445.4437
14,2.7206,-37.1299,1446.2147
15,2.8516,-37.3395,1447.0371
16,2.7774,-37.281,1447.9634
17,2.5848,-37.1182,1448.9149
18,2.2447,-36.7306,1449.7773
19,0.6995,-36.044,1450.4357
20,-1.8633,-34.8687,1450.8035
21,-4.0347,-33.436,1450.786
22,-5.7119,-31.9732,1450.3625
23,-7.0744,-30.559,1449.6035
24,-8.2551,-29.275,1448.6163
25,-9.268,-28.0526,1447.5103
26,-10.0326,-27.0036,1446.3608
27,-10.5762,-26.1656,1445.2297
28,-10.9897,-25.6572,1444.1688
29,-11.3545,-25.5656,1443.2424
30,-11.2777,-25.9032,1442.5525
31,-10.252,-26.6492,1442.1909
32,-8.2742,-27.7297,1442.2206
33,-6.1254,-29.0822,1442.6265
34,-4.0171,-30.5959,1443.3307
35,-1.9808,-32.1553,1444.2401
36,-0.0722,-33.5919,1445.2698
37,1.654,-34.8976,1446.3459
38,2.9149,-36.0173,1447.3959
39,3.2895,-36.719,1448.4581
40,3.2294,-36.8001,1449.5979
41,2.9997,-36.4841,1450.7952
42,2.7634,-35.918,1451.9833
43,2.5901,-35.2555,1453.0221
44,1.612,-34.7133,1453.7068
45,-0.2029,-34.0587,1453.9304
46,-1.3311,-33.2331,1453.6818
47,-2.1646,-31.9415,1453.114
48,-2.92,-30.7243,1452.3138
49,-3.6022,-29.6479,1451.3358
50,-4.1853,-28.7656,1450.2355
51,-4.6509,-28.2114,1449.0527
52,-5.0128,-27.9938,1447.8651
53,-5.3016,-28.1028,1446.7524
54,-5.553,-28.5091,1445.8947
55,-5.1108,-29.1713,1445.4246
56,-3.7255,-30.1314,1445.4008
57,-1.558,-31.3449,1445.8022
58,0.5596,-32.709,1446.5288
59,2.5555,-34.1344,1447.4512
60,4.4029,-35.5664,1448.4358
61,6.0587,-36.9459,1449.3911
62,7.252,-38.1929,1450.2703
63,7.6709,-39.1946,1451.1017
64,7.6605,-39.8924,1452.056
65,7.3944,-40.1746,1453.1427
66,7.0014,-40.0402,1454.3137
67,6.4995,-39.7762,1455.4193
68,4.8495,-40.4932,1456.1724
69,2.0014,-41.034,1456.5195
70,0.5079,-40.507,1456.4061
71,-0.0786,-39.524,1455.8577
72,-0.6256,-38.3044,1454.9865
73,-1.1724,-37.0844,1453.9237
74,-1.7547,-35.8768,1452.7356
75,-2.3264,-34.9208,1451.5476
76,-2.8699,-34.317,1450.3597
77,-3.366,-34.1063,1449.172
78,-3.8553,-34.268,1448.1077
79,-4.0348,-34.7416,1447.3661
80,-2.9921,-35.4983,1447.1085
81,-1.0201,-36.5068,1447.4139
82,0.9181,-37.6796,1448.2805
83,2.7886,-38.9038,1449.5454
84,4.5386,-40.082,1450.8102
85,6.239,-41.2993,1452.0748
86,7.8336,-42.553,1453.3394
87,8.9181,-43.6829,1454.4487
88,8.9133,-44.593,1455.4193
89,8.4001,-45.0883,1456.4396
90,7.7106,-44.8773,1457.5857
91,7.0435,-41.2999,1458.7971
92,6.4445,-44.0639,1459.8236
93,4.1728,-46.4215,1460.3929
94,1.7095,-41.4585,1460.3417
95,1.8762,-40.0637,1459.6757
96,1.4765,-38.5491,1458.5161
97,0.8471,-37.0933,1457.3275
98,0.0723,-35.715,1456.139
99,-0.7046,-34.46,1454.9507
100,-1.3072,-33.2992,1453.7625
101,-1.8894,-32.1644,1452.5743
102,-2.4188,-31.4533,1451.3859
103,-2.947,-31.1332,1450.1978
104,-3.5267,-31.1381,1449.3099
105,-3.2455,-31.4324,1448.9911
106,-1.6491,-32.0032,1449.343
107,-0.041,-32.8484,1450.2946
108,1.3658,-33.9337,1451.5592
109,2.5568,-35.1439,1452.8231
110,3.5365,-36.3651,1454.0875
111,4.3162,-37.6023,1455.3518
112,4.9001,-38.7634,1456.616
113,4.7947,-40.1001,1457.8799
114,4.2569,-41.8528,1459.1077
115,3.7073,-38.5156,1460.3715
116,3.3155,-35.0531,1461.6351
117,3.1194,-31.295,1462.8071
118,1.7309,-27.1853,1463.5006
119,0.0165,-22.756,1463.5234
120,0.0448,-18.2386,1462.8757
121,-0.0405,-16.8859,1461.6891
122,-0.653,-15.6569,1460.4991
123,-1.4873,-14.5713,1459.3108
124,-2.3329,-13.5197,1458.1221
125,-3.1229,-12.4603,1456.9335
126,-3.8312,-11.4655,1455.745
127,-4.4818,-10.618,1454.5566
128,-5.1137,-10.236,1453.3684
129,-5.7608,-10.2434,1452.48
130,-5.7263,-10.5767,1452.1
131,-4.5355,-11.2677,1452.2948
132,-2.9087,-12.5072,1453.0117
133,-1.4434,-13.9881,1454.1355
134,-0.1038,-15.4999,1455.3998
135,1.1525,-16.9971,1456.6638
136,2.3623,-18.4553,1457.9277
137,3.4688,-19.9005,1459.1915
138,4.06,-21.3897,1460.2689
139,3.8594,-23.0169,1461.2231
140,3.3367,-26.3397,1462.1794
141,3.0334,-23.2827,1463.1633
142,2.9558,-20.0294,1464.1011
143,2.4475,-16.3928,1464.7953
144,0.5119,-12.3296,1465.05
145,-1.1741,-7.8604,1464.7515
146,-2.2907,-3.6515,1463.9189
147,-2.9558,-2.5645,1462.7297
148,-3.971,-1.4917,1461.5406
149,-4.9604,-0.5182,1460.3517
150,-5.9056,0.355,1459.1628
151,-6.7834,1.1212,1457.9741
152,-7.5429,1.781,1456.7855
153,-8.2072,2.1835,1455.597
154,-8.8245,2.1368,1454.4087
155,-9.4953,1.5945,1453.3198
156,-9.2894,0.5547,1452.9056
157,-7.8644,-1.0052,1453.1735
158,-6.3637,-2.7211,1453.9973
159,-4.9615,-4.4253,1455.1899
160,-3.6581,-6.0627,1456.4539
161,-2.6739,-7.6525,1457.7178
162,-2.2115,-9.0572,1458.9818
163,-2.3723,-10.3198,1460.2455
164,-2.8268,-9.4373,1461.5089
165,-3.1141,-7.7109,1462.7723
166,-3.2623,-5.4867,1464.0358
167,-3.2344,-2.7128,1465.299
168,-3.1902,0.586,1466.5032
169,-4.7176,4.3495,1467.0894
170,-5.6714,8.4361,1466.9381
171,-5.3826,11.4638,1466.0831
172,-5.8921,12.5416,1464.8937
173,-6.9176,13.3237,1463.7043
174,-7.992,13.9748,1462.5151
175,-9.017,14.5548,1461.326
176,-9.9066,15.042,1460.1371
177,-10.6218,15.2922,1458.9482
178,-11.1899,15.1474,1457.7595
179,-11.7169,14.583,1456.5709
180,-12.0596,13.4708,1455.6976
181,-11.2605,11.8196,1455.5961
182,-9.5344,9.6925,1456.2841
183,-7.9149,7.6194,1457.5496
184,-6.4388,5.6244,1458.8107
185,-5.1689,3.798,1460.0743
186,-4.1628,2.1603,1461.3379
187,-3.4133,0.5487,1462.6013
188,-3.3117,-0.5566,1463.8647
189,-3.4456,-0.6972,1465.1281
190,-3.5903,-0.0738,1466.3911
191,-3.7638,1.3747,1467.6541
192,-3.8507,3.916,1468.9169
193,-4.5943,7.2713,1470.1044
194,-6.4254,11.1635,1470.5021
195,-7.4654,15.5689,1470.0219
196,-6.9374,19.5269,1468.8324
197,-7.3455,20.1402,1467.6415
198,-8.0505,20.6241,1466.4518
199,-8.8693,21.0402,1465.2622
200,-9.6215,21.4039,1464.0728
201,-10.2769,21.679,1462.8834
202,-10.8199,21.9103,1461.6943
203,-11.2909,21.5498,1460.5061
204,-11.7458,20.7049,1459.317
205,-11.5751,19.3831,1458.522
206,-10.3023,17.5336,1458.4949
207,-8.5495,15.2969,1459.2471
208,-6.9228,13.1449,1460.5107
209,-5.3848,11.0978,1461.7753
210,-3.9851,9.1817,1463.0385
211,-2.8599,7.4716,1464.3018
212,-1.995,5.7294,1465.5649
213,-1.6131,4.3302,1466.828
214,-1.6944,3.4063,1468.0909
215,-1.9526,3.1724,1469.3538
216,-2.3004,4.0533,1470.6165
217,-2.5536,6.6303,1471.8789
218,-2.9613,9.6847,1473.1412
219,-5.1603,13.1598,1473.7673
220,-7.0143,17.1334,1473.6912
221,-8.1497,21.3283,1472.9852
222,-8.5086,21.7944,1471.795
223,-9.104,22.3225,1470.605
224,-9.7546,22.7822,1469.4132
225,-10.3933,23.1752,1468.226
