Amostra,Pitch_X,Roll_Y,Yaw_Z
1,0.0039,-0.0071,0.0029
2,0.0054,-0.0152,0.0082
3,0.0138,-0.0225,0.0213
4,0.0259,-0.0283,0.0403
5,0.0284,-0.0291,0.0658
6,0.0655,-0.1027,0.1284
7,0.1093,-0.2032,0.2476
8,0.1543,-0.2968,0.4157
9,0.172,-0.3592,0.6149
10,0.1778,-0.401,0.828
11,0.1508,-0.4254,1.0353
12,0.1075,-0.4421,1.2463
13,0.061,-0.4519,1.4524
14,0.0227,-0.4669,1.65
15,-0.01,-0.4832,1.8395
16,-0.0406,-0.4994,2.0167
17,-0.0721,-0.5072,2.1836
18,-0.099,-0.5067,2.3435
19,-0.1336,-0.5097,2.4997
20,-0.1668,-0.5176,2.6494
21,-0.1932,-0.5437,2.7905
22,-0.2186,-0.5803,2.9289
23,-0.2448,-0.6201,3.0659
24,-0.2699,-0.6573,3.2069
25,-0.2973,-0.6937,3.3577
26,-0.333,-0.7215,3.5109
27,-0.3738,-0.7401,3.662
28,-0.4151,-0.7624,3.8071
29,-0.4573,-0.7824,3.9422
30,-0.5028,-0.8028,4.0644
31,-0.5094,-0.8225,4.184
32,-0.5131,-0.8761,4.29
33,-0.5485,-0.9259,4.3835
34,-0.6132,-0.9491,4.4602
35,-0.6938,-0.9617,4.5197
36,-0.7906,-0.9901,4.5514
37,-0.8491,-1.0368,4.5696
38,-0.861,-1.1094,4.5708
39,-0.838,-1.1839,4.5689
40,-0.8121,-1.2357,4.5657
41,-0.7945,-1.2672,4.5603
42,-0.7872,-1.2773,4.5538
43,-0.7887,-1.2853,4.5463
44,-0.8249,-1.3413,4.5349
45,-0.8215,-1.3949,4.5307
46,-0.7806,-1.4385,4.5332
47,-0.7399,-1.4286,4.5394
48,-0.715,-1.3908,4.5367
49,-0.6981,-1.3699,4.534
50,-0.6933,-1.3877,4.5288
51,-0.6969,-1.4211,4.5222
52,-0.7175,-1.469,4.5083
53,-0.743,-1.5072,4.4926
54,-0.7745,-1.5213,4.4797
55,-0.7893,-1.4992,4.4658
56,-0.7814,-1.4856,4.4465
57,-0.7574,-1.4736,4.4278
58,-0.75,-1.4883,4.4137
59,-0.7767,-1.4898,4.4072
60,-0.8093,-1.4614,4.4073
61,-0.821,-1.4023,4.4163
62,-0.7952,-1.3239,4.4331
63,-0.7363,-1.2474,4.4547
64,-0.6736,-1.206,4.4761
65,-0.5954,-1.1668,4.4967
66,-0.5253,-1.1269,4.5153
67,-0.4932,-1.0825,4.5288
68,-0.5206,-1.0909,4.5185
69,-0.5678,-1.1038,4.4984
70,-0.5412,-1.0797,4.4745
71,-0.5239,-0.9924,4.4681
72,-0.5222,-0.9919,4.4652
73,-0.5329,-1.0062,4.4646
74,-0.6107,-1.085,4.465
