Amostra,Pitch_X,Roll_Y,Yaw_Z
1,-1.3204,103.6067,816.6176
2,-1.9194,102.0648,815.7004
3,-2.5463,100.4539,814.5865
4,-3.026,98.7929,813.4691
5,-3.4207,96.9488,812.4811
6,-3.6679,94.8337,811.9442
7,-2.5755,92.4025,811.8403
8,-0.5211,89.6985,812.1738
9,1.4344,86.8032,812.8625
10,3.2884,83.8188,813.8027
11,5.0329,80.8465,814.8647
12,6.5919,77.9568,815.9095
13,7.9639,75.2485,816.8182
14,9.0071,72.5882,817.5545
15,9.6083,70.2653,818.1929
16,9.7021,68.1722,818.9525
17,9.5598,66.2553,820.0108
18,9.2703,63.9384,821.3032
19,8.8004,62.5969,822.6378
20,8.1175,60.0778,823.9719
21,5.2766,56.9691,824.8441
22,2.4823,59.0958,824.894
23,0.1681,60.1717,824.366
24,-1.2714,60.4148,823.3954
25,-2.4198,60.2561,822.2772
26,-3.4811,59.7408,821.1581
27,-4.1054,59.0702,820.0406
28,-4.5795,58.3192,818.9218
29,-4.9714,57.2372,817.8043
30,-5.3876,55.8082,816.7534
31,-5.2344,53.9746,816.1606
32,-3.5497,51.7918,816.0952
33,-1.4855,49.3097,816.5497
34,0.5477,46.722,817.3678
35,2.4729,44.151,818.3978
36,4.2608,41.6594,819.4532
37,5.8738,39.3353,820.3926
38,7.2079,37.2588,821.1239
39,8.1793,35.49,821.6134
40,8.6347,33.9372,821.9626
41,8.5853,32.443,822.3527
42,8.3811,31.3594,823.062
43,8.0424,30.1665,824.1734
44,7.5707,28.4979,825.507
45,6.3284,26.5798,826.6177
46,3.2977,23.8942,827.1832
47,0.5222,25.7835,827.1519
48,-1.7218,26.9291,826.7086
49,-3.3962,27.3492,825.9165
50,-4.6861,27.6043,824.8423
51,-5.6726,27.6338,823.7244
52,-6.2884,27.5198,822.6053
53,-6.7376,27.1373,821.4875
54,-7.1157,26.3622,820.5079
55,-7.5125,25.1581,819.8749
56,-7.0102,23.5506,819.6611
57,-5.0735,21.6261,819.9166
58,-2.993,19.4918,820.5624
59,-0.9177,17.2779,821.4681
60,1.0514,15.0923,822.5206
61,2.9114,13.0045,823.6029
62,4.5899,11.1085,824.6093
63,6.0277,9.5117,825.428
64,7.1529,8.2213,825.973
65,7.8273,7.1235,826.2781
66,7.9417,6.2157,826.5527
67,7.7485,5.2875,827.0174
68,7.4562,4.5088,827.8449
69,7.0313,3.6198,828.9979
70,5.4691,2.2051,830.1083
71,2.4295,5.6873,830.7582
72,-0.3881,7.698,830.8851
73,-2.8981,8.8235,830.5453
74,-4.8394,9.4984,829.8239
75,-6.3122,10.0311,828.7245
76,-7.3217,10.3278,827.6064
77,-7.9604,10.4789,826.4869
78,-8.3971,10.342,825.3687
79,-8.7691,9.8615,824.3404
80,-9.1682,8.9733,823.7192
81,-8.7402,7.6481,823.5512
82,-6.8875,5.9216,823.8544
83,-4.8227,3.9056,824.555
84,-2.7573,1.7495,825.5096
85,-0.6661,-0.375,826.6322
86,1.3245,-2.3594,827.805
87,3.1503,-4.1572,828.9017
88,4.8234,-5.5838,829.8024
89,6.2478,-6.6854,830.4133
90,7.1952,-7.7556,830.7928
91,7.5706,-8.4536,831.2451
92,7.4175,-9.0716,831.9797
93,7.096,-10.2368,833.0044
94,6.6793,-11.4663,834.3025
95,5.1682,-13.1898,835.4818
96,2.1083,-9.7287,836.2456
97,-0.7509,-7.2188,836.3231
98,-3.4106,-5.7188,835.8137
99,-5.589,-4.803,834.7957
100,-7.2079,-4.0118,833.6754
101,-8.3934,-3.4956,832.5557
102,-9.0522,-3.2754,831.4362
103,-9.4556,-3.2662,830.3174
104,-9.8363,-3.6251,829.1988
105,-10.232,-4.2618,828.5725
106,-10.0569,-5.2711,828.4932
107,-8.5796,-6.6372,828.8741
108,-6.4965,-8.2434,829.613
109,-4.4021,-9.9454,830.5978
110,-2.2672,-11.6465,831.733
111,-0.2516,-13.2604,832.9949
112,1.5763,-14.6757,834.2413
113,3.2669,-15.8401,835.4039
114,4.778,-16.9638,836.2967
115,6.0701,-17.652,836.9853
116,6.8505,-18.171,837.5843
117,7.0542,-18.6328,838.308
118,6.8557,-19.1277,839.2381
119,6.6281,-19.9083,840.3002
120,6.0014,-20.1581,841.6322
121,3.9008,-21.2802,842.8351
122,0.8946,-22.6652,843.3267
123,-1.9849,-20.7079,843.0807
124,-4.3552,-19.3919,842.2711
125,-5.9654,-18.2254,841.1504
126,-7.03,-17.4186,840.0301
127,-7.88,-16.7105,838.9095
128,-8.5497,-16.2678,837.7902
129,-9.0233,-16.1762,836.6696
130,-9.4221,-16.5443,835.657
131,-9.8462,-17.212,835.0585
132,-9.3844,-18.1541,834.9001
133,-7.6938,-19.3464,835.1774
134,-5.6303,-20.716,835.8966
135,-3.5505,-22.1981,836.9384
136,-1.4092,-23.7096,838.1635
137,0.6738,-25.131,839.4957
138,2.6353,-26.352,840.7855
139,4.4383,-27.3291,841.9849
140,6.0324,-27.9526,842.9515
141,7.1559,-28.3247,843.7151
142,7.5186,-28.555,844.347
143,7.5225,-28.4084,845.0201
144,7.2775,-28.5436,845.8354
145,6.9801,-28.9035,846.9241
146,6.1865,-29.7225,848.0327
147,3.3621,-30.4367,848.7924
148,0.2876,-30.6968,848.9625
149,-2.4523,-29.1992,848.5803
150,-4.321,-28.2569,847.7595
151,-5.4467,-27.4381,846.6376
152,-6.3304,-26.4786,845.5173
153,-6.9561,-25.6771,844.397
154,-7.3606,-25.1735,843.2758
155,-7.742,-24.9274,842.1557
156,-8.1523,-24.924,841.2535
157,-8.511,-25.2466,840.8541
158,-7.5157,-25.9448,840.9436
159,-5.4496,-26.9146,841.4944
160,-3.3535,-28.0547,842.4061
161,-1.2071,-29.2566,843.5482
162,0.9732,-30.392,844.7447
163,3.0426,-31.343,845.9383
164,4.9952,-32.0358,846.9861
165,6.7601,-32.406,847.8785
166,8.3622,-32.5502,848.5447
167,9.3362,-32.5718,848.9831
168,9.676,-32.1915,849.5682
169,9.6378,-32.0402,850.3956
170,9.5241,-32.5555,851.3517
171,9.3803,-32.823,852.4988
172,9.1322,-33.0428,853.8289
173,7.1951,-33.4126,855.0687
174,4.245,-33.7336,855.7201
175,1.4356,-33.0276,855.7233
176,-0.5895,-32.3946,855.2336
177,-1.678,-31.8419,854.3654
178,-2.5864,-31.2857,853.2432
179,-3.4376,-30.6255,852.1212
180,-4.0126,-30.0008,851.0005
181,-4.458,-29.7824,849.8794
182,-4.9062,-29.5819,848.7573
183,-5.3478,-29.5156,847.962
184,-5.6154,-29.7305,847.6791
185,-4.5882,-30.2428,847.7988
186,-2.5022,-31.0041,848.252
187,-0.3974,-31.9527,848.9321
188,1.7282,-32.983,849.7532
189,3.885,-33.9191,850.6605
190,5.9525,-34.7656,851.4592
191,7.9216,-35.3872,852.1426
192,9.7256,-35.736,852.6555
193,11.2477,-35.7473,853.0305
194,12.2794,-35.611,853.3134
195,12.6445,-35.382,853.6403
196,12.5694,-35.1102,854.1917
197,12.3686,-35.2794,855.0712
198,12.1284,-35.6449,856.2461
199,11.8107,-36.0561,857.5757
200,9.3187,-36.7073,858.6613
201,6.2673,-37.3149,859.0187
202,3.2924,-36.2058,858.717
203,0.8589,-35.2861,857.9319
204,-0.8112,-34.2254,856.8095
205,-2.0061,-33.3756,855.6886
206,-2.7759,-32.6998,854.5674
207,-3.2871,-32.2227,853.4453
208,-3.7505,-31.9432,852.3243
209,-4.2382,-31.8136,851.2028
210,-4.746,-31.9559,850.2209
211,-4.5448,-32.3912,849.71
212,-3.0359,-33.126,849.6824
213,-1.0263,-34.1041,850.1294
214,0.9916,-35.2097,850.9348
215,3.0484,-36.3119,851.9521
216,5.0041,-37.3383,853.05
217,6.8336,-38.2223,854.0582
218,8.4951,-38.913,854.9356
219,9.9418,-39.275,855.5649
220,10.9984,-39.3048,856.007
221,11.4462,-39.1509,856.3356
222,11.4168,-38.9369,856.8055
223,11.1865,-38.7365,857.5634
224,10.9023,-38.6686,858.6919
225,10.5007,-38.7701,860.0223
226,8.5794,-39.0029,861.2447
227,5.4992,-40.2185,861.7911
228,2.4927,-37.9149,861.6679
229,-0.0674,-36.1717,861.0535
230,-1.7403,-34.8414,860.1152
231,-2.9128,-33.7176,858.9921
232,-3.8298,-32.6193,857.8708
233,-4.4175,-31.8345,856.7482
234,-4.9123,-31.4733,855.6267
235,-5.4049,-31.3768,854.5048
236,-5.9336,-31.5793,853.634
237,-5.8324,-31.9038,853.3005
238,-4.4861,-32.5807,853.521
239,-2.4784,-33.5389,854.2476
240,-0.4363,-34.6782,855.3062
241,1.6624,-35.8373,856.5179
242,3.7014,-36.9194,857.759
243,5.5506,-37.9213,858.8472
244,7.2665,-38.7245,859.7632
245,8.7203,-39.119,860.4663
246,9.9909,-39.3534,860.9919
247,10.6883,-39.4044,861.4203
248,10.8254,-39.3788,861.9256
249,10.6016,-39.3515,862.6389
250,10.3194,-39.6207,863.6076
251,9.8339,-39.5844,864.8416
252,7.3748,-40.104,865.9258
253,4.2107,-35.997,866.3992
254,1.2528,-33.2961,866.1284
255,-1.3748,-31.2261,865.2974
256,-3.3165,-29.7054,864.1749
257,-4.5739,-28.6265,863.0526
258,-5.3901,-27.8587,861.9294
259,-5.9288,-27.1724,860.8075
260,-6.4084,-26.7784,859.6851
261,-6.9049,-26.6436,858.5627
262,-7.4017,-26.8037,857.9384
263,-6.9151,-27.2607,857.7936
264,-5.2813,-28.0416,858.1474
265,-3.2333,-29.0722,858.9133
266,-1.1559,-30.2689,859.9867
267,0.9672,-31.4776,861.2728
268,3.0074,-32.5876,862.6027
269,4.8792,-33.5154,863.9069
270,6.6041,-34.1563,865.1302
271,8.0431,-34.5348,866.1068
272,9.0767,-34.7315,866.9203
273,9.4972,-34.8178,867.6837
274,9.419,-35.2215,868.5136
275,9.2388,-35.3778,869.543
276,8.8689,-35.3333,870.8718
277,7.6622,-35.2474,872.2011
278,4.5093,-34.6767,873.2466
279,1.3636,-35.1519,873.3561
280,-1.4015,-32.9275,872.7381
281,-3.7165,-31.0884,871.6292
282,-5.1544,-29.7068,870.5057
283,-6.0579,-28.6461,869.3815
284,-6.7236,-27.8335,868.2588
285,-7.2568,-27.3015,867.1353
286,-7.7544,-26.9289,866.0121
287,-8.2356,-26.7969,864.8884
288,-8.7096,-26.9049,864.2169
289,-8.011,-27.3472,864.2091
290,-6.1254,-28.1244,864.7801
291,-4.0296,-29.1514,865.7861
292,-1.8928,-30.3039,867.0547
293,0.2314,-31.418,868.385
294,2.2467,-32.3553,869.7136
295,4.1216,-33.1068,871.0424
296,5.8244,-33.4729,872.2407
297,7.3323,-33.6428,873.2221
298,8.5217,-33.55,873.9681
299,9.0861,-33.3694,874.5305
300,9.1255,-33.2022,875.0676
301,8.8692,-33.2681,875.6794
302,8.6535,-33.3318,876.4407
303,8.0334,-33.2159,877.431
304,5.3482,-32.8652,878.2933
305,2.2349,-30.6098,878.6396
306,-0.6211,-28.4947,878.3718
307,-2.9485,-26.8713,877.6038
308,-4.6193,-25.3018,876.4858
309,-5.8217,-23.8044,875.362
310,-6.6052,-22.7203,874.2375
311,-7.179,-22.0693,873.1135
312,-7.6407,-21.5812,871.9904
313,-8.1398,-21.4979,870.8666
314,-8.6388,-21.6752,870.2261
315,-8.088,-22.2055,870.126
316,-6.2835,-23.1274,870.5566
317,-4.2747,-24.3573,871.4568
318,-2.2305,-25.734,872.6729
319,-0.1305,-27.0764,874.0007
320,1.9087,-28.2482,875.33
321,3.834,-29.2119,876.6578
322,5.6417,-29.8404,877.9084
323,7.1961,-30.1308,878.9034
324,8.217,-30.0849,879.6382
325,8.4629,-29.8023,880.2861
326,8.2253,-29.5431,880.9211
327,7.8885,-29.8834,881.6184
328,7.4598,-30.013,882.4211
329,4.89,-30.5111,883.123
330,1.8701,-27.2236,883.4321
331,-0.9828,-24.6393,883.1722
332,-3.5912,-22.6008,882.4133
333,-5.5817,-20.4718,881.2954
334,-7.1094,-18.5755,880.1707
335,-8.2517,-17.3165,879.0455
336,-8.9115,-16.3938,877.9214
337,-9.3532,-15.5839,876.7973
338,-9.8419,-15.0656,875.7427
339,-10.3152,-14.8337,875.3192
340,-10.3836,-15.1035,875.4293
341,-9.1759,-15.8936,875.9926
342,-7.1895,-17.1001,876.9608
343,-5.17,-18.5243,878.241
344,-3.0717,-19.9623,879.5688
345,-0.9302,-21.1883,880.8978
346,1.0356,-22.1475,882.2287
347,2.8421,-22.8479,883.5526
348,4.5382,-23.1643,884.7344
349,6.1417,-23.1242,885.5737
350,7.6164,-22.7835,886.107
351,8.6376,-22.5798,886.1921
352,8.8145,-22.2903,886.0455
353,8.6094,-22.2509,886.0462
354,8.3766,-22.8774,886.3032
355,7.689,-23.1816,886.7983
356,4.8406,-22.9474,887.32
357,1.863,-21.4448,887.5248
358,-0.8748,-19.8599,887.2704
359,-3.3692,-18.2644,886.6558
360,-5.3983,-16.5036,885.7122
361,-6.8874,-14.9025,884.587
362,-7.849,-13.6743,883.4615
363,-8.555,-12.8177,882.337
364,-9.0329,-12.273,881.2125
365,-9.5266,-12.1035,880.0869
366,-10.0037,-12.1635,879.3067
367,-10.1201,-12.7174,879.1235
368,-8.9397,-13.7602,879.4998
369,-6.9458,-15.2631,880.3546
370,-4.9116,-17.043,881.5803
371,-2.814,-18.6738,882.9077
372,-0.6578,-20.1037,884.236
373,1.379,-21.3503,885.5629
374,3.2519,-22.2591,886.8901
375,4.965,-22.8363,888.0085
376,6.5091,-23.0997,888.7869
377,7.6086,-23.0871,889.2374
378,7.8877,-22.9653,889.4852
379,7.7415,-22.9961,889.7081
380,7.4915,-22.8643,890.3093
381,7.1007,-22.6392,891.283
382,4.5729,-22.3088,892.2717
383,1.4066,-21.4086,892.7707
384,-1.4373,-19.316,892.6423
385,-3.9802,-17.4048,892.0417
386,-6.1174,-15.5103,891.0455
387,-7.6462,-13.7938,889.9182
388,-8.8702,-12.6113,888.7947
389,-9.5873,-11.7242,887.6688
390,-10.0503,-11.0645,886.5438
391,-10.5274,-10.6876,885.4178
