Amostra,Pitch_X,Roll_Y,Yaw_Z
1,0.5018,-0.0864,0.0349
2,1.6876,-0.268,0.0627
3,2.954,-0.4303,0.0269
4,4.2347,-0.5497,-0.0761
5,5.5225,-0.6147,-0.2354
6,6.7978,-0.621,-0.4153
7,8.0488,-0.5738,-0.5702
8,9.2786,-0.4769,-0.6714
9,10.4966,-0.3397,-0.7062
10,10.9747,-0.1738,-0.6878
11,10.5332,0.006,-0.6423
12,9.2502,0.186,-0.5969
13,7.9855,0.3728,-0.5785
14,6.7315,0.576,-0.5904
15,5.4966,0.8056,-0.6443
16,4.2842,1.0659,-0.7354
17,3.0848,1.3471,-0.8537
18,1.8844,1.6353,-0.9809
19,0.6898,1.9084,-1.0962
20,-0.5236,2.1537,-1.1754
21,-1.7221,2.3415,-1.198
22,-2.4218,2.4685,-1.1573
23,-2.4594,2.5117,-1.0563
24,-1.8456,2.4602,-0.9227
25,-0.6256,2.3201,-0.793
26,0.8394,2.1101,-0.6987
27,2.3273,1.859,-0.658
28,3.8243,1.611,-0.6826
29,5.3315,1.393,-0.7765
30,6.8379,1.2292,-0.9374
31,8.3272,1.1483,-1.1554
32,9.7096,1.1585,-1.3888
33,10.9543,1.2233,-1.587
34,12.1037,1.3152,-1.7134
35,13.2099,1.4143,-1.7553
36,13.6304,1.5045,-1.7191
37,13.0318,1.5706,-1.6321
38,11.6685,1.5979,-1.5304
39,10.3586,1.6055,-1.4466
40,9.088,1.6113,-1.3967
41,7.8658,1.6328,-1.3747
42,6.713,1.6716,-1.3873
43,5.5987,1.7204,-1.4267
44,4.4885,1.7938,-1.4813
45,3.3673,1.8786,-1.5327
46,2.1885,1.9862,-1.5542
47,1.0497,2.0482,-1.5294
48,0.3171,2.0585,-1.4411
49,0.3366,1.9563,-1.3014
50,0.94,1.7844,-1.1477
51,2.0559,1.501,-0.977
52,3.6682,1.0671,-0.8279
53,5.3083,0.5863,-0.732
54,6.9661,0.106,-0.6972
55,8.6367,-0.341,-0.7205
56,10.3047,-0.712,-0.7988
57,11.9428,-0.9659,-0.9202
58,13.4571,-1.0677,-1.0585
59,14.7717,-1.0832,-1.1825
60,15.8942,-1.0517,-1.2587
61,16.91,-1.0016,-1.2591
62,17.89,-0.9649,-1.1823
63,17.9648,-0.9471,-1.0528
64,17.1488,-0.9677,-0.9072
65,15.8082,-1.0262,-0.7905
66,14.5431,-1.0988,-0.7311
67,13.353,-1.167,-0.7319
68,12.2343,-1.2349,-0.7856
